# 배음렬 점수로 뽑은 음 사건 — YIN 과 무관하다
# 787개 · bass_sample_2.wav · 0.0~240.5초
# 시각(초)  MIDI  길이(초)
148.470 38 0.070
148.650 33 0.410
149.120 45 0.110
149.600 34 0.440
150.050 46 0.100
150.280 34 0.260
150.730 33 0.040
150.840 36 0.110
150.960 48 0.080
151.180 37 0.190
151.720 29 0.150
151.880 28 0.110
152.080 29 0.260
152.400 36 0.190
152.620 41 0.210
153.270 36 0.090
153.430 36 0.050
153.530 41 0.050
153.590 29 0.060
153.900 29 0.260
154.170 28 0.050
154.230 36 0.200
154.440 41 0.230
155.110 36 0.100
155.250 36 0.090
155.420 34 0.120
155.740 34 0.300
156.160 29 0.110
156.320 34 0.260
156.970 34 0.080
157.170 36 0.180
157.560 36 0.310
157.920 31 0.180
158.130 36 0.090
158.390 34 0.110
158.590 33 0.110
158.830 31 0.110
158.980 29 0.230
159.450 29 0.320
159.780 36 0.220
160.010 41 0.160
160.660 36 0.100
160.780 36 0.110
160.920 29 0.170
161.230 41 0.050
161.290 29 0.320
161.620 36 0.190
161.840 41 0.100
162.050 39 0.110
162.170 38 0.050
162.230 39 0.040
162.280 38 0.160
162.480 36 0.140
162.740 32 0.180
163.110 32 0.170
163.400 34 0.460
163.980 46 0.350
164.570 32 0.220
164.930 32 0.210
165.150 29 0.050
165.310 34 0.460
165.830 46 0.090
165.950 46 0.140
166.200 48 3.420
170.120 36 0.410
170.600 38 0.440
171.090 40 0.410
171.510 41 0.400
171.970 43 0.380
172.400 44 0.430
172.880 45 0.430
173.360 47 0.270
173.820 48 0.040
173.870 36 0.160
174.150 36 0.330
174.500 31 0.210
174.750 36 0.200
175.400 48 0.090
175.530 48 0.140
175.680 36 0.130
176.050 36 0.300
176.380 31 0.190
176.610 36 0.180
176.840 31 0.200
177.080 33 0.140
177.230 34 0.050
177.290 46 0.150
177.500 36 0.160
177.840 36 0.290
178.190 31 0.220
178.440 36 0.180
179.110 50 0.060
179.230 51 0.090
179.330 52 0.180
179.650 36 0.370
180.070 31 0.170
180.290 36 0.100
180.440 36 0.060
180.530 31 0.170
180.750 33 0.170
180.930 34 0.260
181.250 36 0.130
181.590 36 0.300
181.920 31 0.190
182.170 36 0.160
182.790 48 0.080
182.900 48 0.120
183.030 47 0.050
183.090 36 0.140
183.410 36 0.290
183.770 31 0.180
184.000 36 0.170
184.220 31 0.170
184.450 33 0.120
184.660 34 0.160
184.880 48 0.050
184.940 36 0.060
185.240 36 0.310
185.570 31 0.230
185.830 36 0.110
186.040 50 0.110
186.160 51 0.100
186.270 52 0.290
186.720 36 0.180
187.100 36 0.290
187.440 31 0.230
187.710 36 0.190
187.910 31 0.180
188.140 33 0.200
188.350 34 0.870
189.320 33 0.360
189.690 34 0.250
189.950 33 0.220
190.240 31 0.400
190.710 33 0.160
190.900 31 0.160
191.130 41 0.050
191.190 29 0.340
191.580 31 0.210
191.800 29 0.200
192.010 28 0.220
192.300 36 0.110
192.590 36 0.280
192.940 31 0.230
193.240 36 0.120
193.420 50 0.110
193.540 51 0.080
193.630 52 0.310
194.140 36 0.170
194.490 36 0.330
194.840 31 0.260
195.180 36 0.070
195.290 31 0.210
195.590 33 0.170
195.770 34 0.810
196.680 33 0.430
197.150 34 0.190
197.390 33 0.170
197.620 31 0.380
198.090 33 0.150
198.280 31 0.200
198.530 29 0.410
199.020 31 0.160
199.200 29 0.170
199.420 28 0.210
199.670 36 0.150
200.060 36 0.300
200.380 31 0.190
200.600 36 0.190
201.250 48 0.090
201.360 48 0.130
201.570 36 0.100
201.870 36 0.290
202.190 31 0.200
202.430 36 0.170
202.920 44 0.070
203.140 38 0.040
203.270 34 0.050
203.390 38 0.190
203.620 50 0.050
203.840 38 0.100
204.040 33 0.470
204.520 45 0.110
204.980 34 0.430
205.420 46 0.090
205.650 34 0.270
206.140 36 0.240
206.390 48 0.080
206.540 37 0.270
206.850 49 0.090
207.020 38 0.250
207.280 50 0.120
207.510 38 0.110
207.630 57 0.080
207.750 33 0.490
208.250 45 0.080
208.460 28 0.060
208.680 34 0.450
209.140 46 0.090
209.370 34 0.240
209.800 36 0.260
210.070 48 0.070
210.270 37 0.240
210.520 49 0.070
210.720 38 0.220
210.960 50 0.130
211.180 38 0.120
211.440 33 0.470
211.920 45 0.090
212.360 34 0.430
212.800 46 0.080
213.020 34 0.280
213.510 36 0.200
213.770 48 0.090
213.990 37 0.220
214.220 49 0.110
214.420 50 0.050
214.480 38 0.160
214.650 50 0.120
214.910 38 0.090
215.020 57 0.070
215.130 33 0.440
215.580 45 0.130
216.040 34 0.450
216.500 46 0.100
216.740 34 0.250
217.000 46 0.070
217.190 36 0.200
217.450 48 0.070
217.650 37 0.270
217.930 49 0.060
218.120 38 0.230
218.360 50 0.090
218.480 45 0.040
218.620 38 0.100
218.730 33 0.040
218.800 33 0.490
219.300 45 0.060
219.520 28 0.070
219.740 34 0.450
220.200 46 0.110
220.430 34 0.280
220.900 36 0.240
221.150 48 0.100
221.360 37 0.230
221.600 49 0.090
221.820 38 0.230
222.090 50 0.110
222.330 38 0.210
222.690 45 0.420
223.610 46 0.320
223.940 58 0.050
224.110 46 0.180
224.670 36 0.160
224.840 48 0.070
225.060 37 0.240
225.310 49 0.080
225.550 38 0.170
225.740 50 0.100
225.950 38 0.070
226.180 33 0.460
226.650 45 0.130
227.180 34 0.400
227.590 46 0.090
227.810 34 0.250
228.280 36 0.230
228.520 48 0.120
228.720 37 0.230
228.960 49 0.110
229.220 38 0.210
229.440 50 0.090
229.680 38 0.220
230.040 45 0.350
230.400 57 0.080
230.980 46 0.350
231.510 46 0.180
232.000 34 0.050
232.080 36 0.180
232.420 37 0.260
232.870 38 1.720
234.600 39 0.070
234.850 45 0.070
234.930 50 1.230
